Name,,Lab_L,Lab_a,Lab_b,ink1,ink2,ink3,ink4,%1,%2,%3,%4
PANTONE Yellow C,,89,-3.9023438,111.75,PANTONE Yellow 012,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Yellow 012 C,,86,1.828125,114.328125,PANTONE Yellow 013,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Orange 021 C,,62,62.7695312,94.9179688,PANTONE Yellow 014,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Warm Red C,,57,70.5585938,53.25,PANTONE Yellow 015,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Red 032 C,,54,73.6289062,40.6171875,PANTONE Yellow 016,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Rubine Red C,,44,78.390625,7.5390625,PANTONE Yellow 017,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Rhodamine Red C,,51,79.1289062,-18.8710938,PANTONE Yellow 018,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Purple C,,45,67.5078125,-47.7929688,PANTONE Yellow 019,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Violet C,,24,53.7929688,-70.8828125,PANTONE Yellow 020,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Blue 072 C,,19,40.3984375,-79.0742188,PANTONE Yellow 021,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Reflex Blue C,,18,31.875,-73.609375,PANTONE Yellow 022,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Process Blue C,,47,-32.5625,-56.9726562,PANTONE Yellow 023,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Green C,,59,-78.0195312,1.6796875,PANTONE Yellow 024,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Black C,,18,2.4726562,5.6796875,PANTONE Yellow 025,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Process Yellow C,,88,-4.4140625,102.8085938,PANTONE Yellow 026,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Process Magenta C,,45,77.6875,2.1796875,PANTONE Yellow 027,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Process Cyan C,,57,-37.9609375,-46.390625,PANTONE Yellow 028,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Process Black C,,8,0.3710938,-0.4375,PANTONE Yellow 029,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Hexachrome Yellow C,,89,-2.03125,103.0585938,PANTONE Yellow 030,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Hexachrome Orange C,,67,56.0703125,90.8671875,PANTONE Yellow 031,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Hexachrome Magenta C,,48,81.515625,-11.453125,PANTONE Yellow 032,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Hexachrome Cyan C,,49,-35.484375,-54.4414062,PANTONE Yellow 033,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
