Name Col1,Name Col2,label CMYK_C,label CMYK_M,label CMYK_Y,label CMYK_K,,tint CMYK_C,tint CMYK_M,tint CMYK_Y,tint CMYK_K,RGB_R,RGB_G,RGB_B,HTML
P 168-16 C,P 168-16 CP,11.155871,6.260777,100,56.897843,,11.512932,5.05684,100,57.16182,100,100,100,56654b
P 169-14 C,P 169-14 CP,50.063324,43.208972,46.581215,25.804532,,47.913328,41.087967,46.987107,28.659496,100,100,100,56654b
P 23-13 C,P 23-13 CP,32.201114,42.413977,54.393834,26.39353,,30.453956,40.823987,55.158311,28.477913,100,100,100,56654b
P 170-10 C,P 170-10 CP,47.965211,42.372778,46.242467,24.841687,,45.847258,40.321964,46.715495,27.615777,100,100,100,56654b
P 97-8 C,P 97-8 CP,74.142063,100,0,34.956893,,72.838938,100,0,36.838332,100,100,100,56654b
P 170-11 C,P 170-11 CP,49.266803,44.234377,48.484015,27.806515,,47.150376,42.201877,48.914319,30.550086,100,100,100,56654b
P 97-16 C,P 97-16 CP,73.768216,100,0,45.081255,,72.800791,100,0,46.729228,100,100,100,56654b
P 170-12 C,P 170-12 CP,51.357287,45.305562,50.626385,30.597392,,49.178302,43.195239,50.962079,33.423361,100,100,100,56654b
P 38-9 C,P 38-9 CP,5.485618,21.109331,25.311667,0.001526,,5.694667,20.538643,27.719539,0.042725,100,100,100,56654b
P 177-2 C,P 177-2 CP,28.47181,20.572214,29.382771,2.362097,,27.43572,19.22942,30.962083,3.874266,100,100,100,56654b
P 98-8 C,P 98-8 CP,71.458,100,0,57.120621,,70.211339,100,0,58.228427,100,100,100,56654b
P 169-15 C,P 169-15 CP,54.451817,48.328373,50.481421,32.5185,,52.115661,46.117342,50.690472,35.548943,100,100,100,56654b
P 35-1 C,P 35-1 CP,3.64538,22.665751,25.857937,0,,3.924621,22.079805,28.294805,0.050355,100,100,100,56654b
P 23-14 C,P 23-14 CP,35.92279,44.458687,55.934995,30.603495,,34.128329,42.842755,56.617075,32.710764,100,100,100,56654b
P 154-1 C,P 154-1 CP,3.768978,0,9.228656,0,,3.993286,0,12.104982,0,100,100,100,56654b
P 172-13 C,P 172-13 CP,57.679105,50.301367,45.610744,30.067903,,55.503166,48.267338,45.949492,32.996109,100,100,100,56654b
P 170-13 C,P 170-13 CP,53.267717,47.066453,51.830322,33.003739,,51.009387,44.887465,52.069885,35.925841,100,100,100,56654b
P 172-10 C,P 172-10 CP,52.588695,44.966811,40.802625,22.885481,,50.518042,42.996871,41.321433,25.717556,100,100,100,56654b
P 174-15 C,P 174-15 CP,68.160522,49.416342,42.542154,37.926298,,66.521704,47.5288,43.184558,40.279239,100,100,100,56654b
P 171-10 C,P 171-10 CP,45.107195,44.35645,40.634775,21.123064,,42.969406,42.423132,41.188678,23.900206,100,100,100,56654b
P 179-11 C,P 179-11 CP,53.56527,43.428701,41.603723,22.824445,,51.445794,41.28786,42.008087,25.786221,100,100,100,56654b
P 13-14 C,P 13-14 CP,37.003127,42.331579,61.564052,35.628289,,35.315481,40.680552,62.325478,37.595177,100,100,100,56654b
P 51-4 C,P 51-4 CP,15.577936,30.142671,28.332952,2.137789,,14.773785,29.10811,30.127412,3.346303,100,100,100,56654b
P 171-11 C,P 171-11 CP,48.66865,46.334019,40.692759,22.738995,,46.492714,44.353399,41.174945,25.586328,100,100,100,56654b
P 157-1 C,P 157-1 CP,4.425116,0,13.104448,0,,4.884413,0,15.95941,0,100,100,100,56654b
P 174-12 C,P 174-12 CP,62.784773,42.273593,34.740216,24.501412,,61.319906,40.531015,35.663387,26.797894,100,100,100,56654b
P 35-9 C,P 35-9 CP,3.184558,16.516365,18.382543,0.004578,,3.468376,15.976197,20.932326,0.009155,100,100,100,56654b
P 173-13 C,P 173-13 CP,61.776149,46.428627,38.358128,27.038985,,60.088503,44.594491,39.055467,29.547569,100,100,100,56654b
P 13-11 C,P 13-11 CP,26.738384,37.528038,59.516287,24.977493,,25.29946,36.050966,60.366219,26.775005,100,100,100,56654b
P 172-12 C,P 172-12 CP,56.531626,48.567942,44.034484,27.582207,,54.474705,46.62089,44.490731,30.394447,100,100,100,56654b
P 23-4 C,P 23-4 CP,17.587548,28.296331,33.54696,3.212024,,16.729991,27.168688,35.197985,4.513619,100,100,100,56654b
P 170-9 C,P 170-9 CP,45.334554,40.903333,43.843746,21.745633,,43.204394,38.867781,44.345769,24.547188,100,100,100,56654b
P 176-13 C,P 176-13 CP,61.893642,39.998475,52.67567,35.579461,,60.219729,37.840849,53.234148,38.051423,100,100,100,56654b
P 23-11 C,P 23-11 CP,26.796368,40.383002,53.104448,21.373312,,25.116351,38.863203,53.955901,23.405814,100,100,100,56654b
P 169-16 C,P 169-16 CP,58.036166,52.324712,53.76364,39.83978,,55.593193,50.016022,53.847563,42.871749,100,100,100,56654b
P 179-13 C,P 179-13 CP,61.242086,51.097888,49.20119,34.35111,,58.716714,48.609141,49.167621,37.746242,100,100,100,56654b
P 179-12 C,P 179-12 CP,58.33829,48.059815,46.102083,29.047075,,56.054014,45.789272,46.294346,32.21027,100,100,100,56654b
P 27-9 C,P 27-9 CP,2.081331,19.623102,27.180895,0,,2.415503,19.171435,29.56588,0,100,100,100,56654b
P 151-1 C,P 151-1 CP,7.470817,0,13.075456,0,,7.876707,0,15.849546,0,100,100,100,56654b
P 178-3 C,P 178-3 CP,24.708934,21.934845,30.29221,2.49485,,23.704891,20.621042,31.905088,3.99176,100,100,100,56654b
P 98-16 C,P 98-16 CP,70.479894,100,0,66.131073,,69.500268,100,0,66.776532,100,100,100,56654b
P 23-12 C,P 23-12 CP,29.205769,41.618982,53.641564,23.820859,,27.508965,40.064088,54.468602,25.867093,100,100,100,56654b
